go_f,count,Systematic Name
inositol hexakisphosphate 6-kinase activity,1,['YLR410W']
inositol hexakisphosphate binding,5,"['YDL207W', 'YDR414C', 'YIL047C', 'YJL012C', 'YOR046C']"
inositol hexakisphosphate kinase activity,2,"['YDR017C', 'YLR410W']"
inositol monophosphate 1-phosphatase activity,2,"['YDR287W', 'YHR046C']"
inositol monophosphate 3-phosphatase activity,2,"['YDR287W', 'YHR046C']"
inositol monophosphate 4-phosphatase activity,2,"['YDR287W', 'YHR046C']"
inositol monophosphate phosphatase activity,2,"['YDR287W', 'YHR046C']"
inositol pentakisphosphate 2-kinase activity,1,['YDR315C']
inositol phosphoceramide synthase activity,2,"['YDR072C', 'YKL004W']"
inositol phosphoceramide synthase regulator activity,1,['YDR367W']
inositol phosphosphingolipid phospholipase activity,1,['YER019W']
inositol tetrakisphosphate 3-kinase activity,1,['YDR173C']
inositol tetrakisphosphate 6-kinase activity,1,['YDR173C']
inositol tetrakisphosphate kinase activity,1,['YDR173C']
"inositol-1,3,4,5,6-pentakisphosphate kinase activity",3,"['YDR017C', 'YDR173C', 'YLR410W']"
"inositol-1,4,5-trisphosphate 3-kinase activity",1,['YDR173C']
"inositol-1,4,5-trisphosphate 6-kinase activity",1,['YDR173C']
"inositol-1,5-bisdiphosphate-2,3,4,6-tetrakisphosphate 5-diphosphatase activity",1,['YNL032W']
inositol-3-phosphate synthase activity,1,['YJL153C']
"inositol-5-diphosphate-1,2,3,4,6-pentakisphosphate diphosphatase activity",2,"['YLR410W', 'YNL032W']"
"inositol-5-diphosphate-1,3,4,6-tetrakisphosphate diphosphatase activity",1,['YNL032W']
integrin binding,1,['YOL154W']
intramolecular lyase activity,2,"['YHR198C', 'YHR199C']"
intramolecular transferase activity,1,['YHR072W']
"intramolecular transferase activity, phosphotransferases",9,"['YDL021W', 'YEL058W', 'YKL127W', 'YKL128C', 'YKL152C', 'YMR105C', 'YMR278W', 'YOL056W', 'YOR283W']"
inulinase activity,1,['YIL162W']
ion channel activity,5,"['YBR054W', 'YCR021C', 'YDR033W', 'YGR217W', 'YOR087W']"
ion transmembrane transporter activity,1,['YOR271C']
iron chaperone activity,1,['YDL120W']
iron ion binding,21,"['YBL071W-A', 'YDL010W', 'YDL171C', 'YDR091C', 'YDR297W', 'YDR402C', 'YER049W', 'YGL091C', 'YGR060W', 'YGR144W', 'YHR007C', 'YJR025C', 'YKL040C', 'YLL027W', 'YLR056W', 'YMR009W', 'YMR015C', 'YMR272C', 'YOR226C', 'YPL135W', 'YPR067W']"
iron ion transmembrane transporter activity,7,"['YBR207W', 'YER145C', 'YJL133W', 'YKR052C', 'YLR220W', 'YMR058W', 'YMR319C']"
iron-sulfur cluster binding,40,"['YBR014C', 'YBR163W', 'YCL017C', 'YDL010W', 'YDL102W', 'YDL171C', 'YDR098C', 'YDR234W', 'YEL024W', 'YER171W', 'YER174C', 'YGL009C', 'YGL091C', 'YGL220W', 'YGR286C', 'YHR164C', 'YIL003W', 'YJL200C', 'YJR016C', 'YJR137C', 'YKL040C', 'YKL045W', 'YKR071C', 'YLL027W', 'YLL041C', 'YLR304C', 'YNL102W', 'YNL240C', 'YNL262W', 'YOL043C', 'YOR196C', 'YOR226C', 'YOR356W', 'YPL059W', 'YPL086C', 'YPL135W', 'YPL167C', 'YPL202C', 'YPL207W', 'YPL252C']"
isocitrate dehydrogenase (NAD+) activity,2,"['YNL037C', 'YOR136W']"
isocitrate dehydrogenase (NADP+) activity,3,"['YDL066W', 'YLR174W', 'YNL009W']"
isocitrate lyase activity,2,"['YER065C', 'YPR006C']"
isoleucine-tRNA ligase activity,2,"['YBL076C', 'YPL040C']"
isomerase activity,67,"['YBR019C', 'YBR073W', 'YBR196C', 'YCL043C', 'YCR069W', 'YDL021W', 'YDL036C', 'YDR007W', 'YDR050C', 'YDR155C', 'YDR304C', 'YDR518W', 'YDR519W', 'YEL058W', 'YER003C', 'YFL001W', 'YFL045C', 'YGL063W', 'YGR169C', 'YHL022C', 'YHR029C', 'YHR057C', 'YHR072W', 'YHR210C', 'YIL005W', 'YIL020C', 'YIL153W', 'YJL121C', 'YJL153C', 'YJR017C', 'YJR032W', 'YKL127W', 'YKL128C', 'YKL152C', 'YKR009C', 'YLR165C', 'YLR175W', 'YLR216C', 'YLR234W', 'YLR284C', 'YLR449W', 'YML074C', 'YML078W', 'YMR099C', 'YMR105C', 'YMR202W', 'YMR278W', 'YNL088W', 'YNL135C', 'YNL200C', 'YNL292W', 'YNR028W', 'YNR071C', 'YOL006C', 'YOL056W', 'YOL066C', 'YOL088C', 'YOR095C', 'YOR180C', 'YOR243C', 'YOR288C', 'YPL064C', 'YPL117C', 'YPL152W', 'YPL212C', 'YPR060C', 'YPR118W']"
isopentenyl-diphosphate delta-isomerase activity,1,['YPL117C']
isopeptidase activity,4,"['YDL216C', 'YFR004W', 'YHR165C', 'YOR261C']"
isopropylmalate transmembrane transporter activity,1,['YKL120W']
ketol-acid reductoisomerase activity,1,['YLR355C']
ketoreductase activity,1,['YBR159W']
kinase activity,207,"['YAL017W', 'YAL038W', 'YAR018C', 'YAR019C', 'YBL009W', 'YBL016W', 'YBL068W', 'YBL088C', 'YBL105C', 'YBR020W', 'YBR028C', 'YBR059C', 'YBR097W', 'YBR136W', 'YBR160W', 'YBR274W', 'YCL024W', 'YCL040W', 'YCR008W', 'YCR012W', 'YCR036W', 'YCR073C', 'YCR091W', 'YDL017W', 'YDL025C', 'YDL028C', 'YDL079C', 'YDL101C', 'YDL108W', 'YDL159W', 'YDL166C', 'YDL214C', 'YDR009W', 'YDR017C', 'YDR020C', 'YDR109C', 'YDR122W', 'YDR127W', 'YDR147W', 'YDR173C', 'YDR196C', 'YDR208W', 'YDR226W', 'YDR236C', 'YDR247W', 'YDR248C', 'YDR283C', 'YDR300C', 'YDR315C', 'YDR454C', 'YDR466W', 'YDR477W', 'YDR490C', 'YDR507C', 'YDR516C', 'YDR523C', 'YDR531W', 'YEL029C', 'YEL041W', 'YER052C', 'YER069W', 'YER099C', 'YER123W', 'YER129W', 'YER170W', 'YFL029C', 'YFL033C', 'YFL053W', 'YFR007W', 'YFR014C', 'YFR019W', 'YFR053C', 'YGL021W', 'YGL059W', 'YGL119W', 'YGL158W', 'YGL179C', 'YGL180W', 'YGL253W', 'YGR040W', 'YGR052W', 'YGR092W', 'YGR188C', 'YGR194C', 'YGR205W', 'YGR240C', 'YGR262C', 'YHL007C', 'YHL011C', 'YHL032C', 'YHR025W', 'YHR030C', 'YHR033W', 'YHR079C', 'YHR082C', 'YHR099W', 'YHR102W', 'YHR135C', 'YHR205W', 'YIL035C', 'YIL042C', 'YIL095W', 'YIL107C', 'YIL147C', 'YJL057C', 'YJL087C', 'YJL095W', 'YJL100W', 'YJL106W', 'YJL128C', 'YJL141C', 'YJL164C', 'YJL165C', 'YJL187C', 'YJR049C', 'YJR057W', 'YJR059W', 'YJR066W', 'YJR105W', 'YKL001C', 'YKL024C', 'YKL048C', 'YKL067W', 'YKL101W', 'YKL116C', 'YKL126W', 'YKL139W', 'YKL161C', 'YKL166C', 'YKL168C', 'YKL171W', 'YKL181W', 'YKL198C', 'YKL203C', 'YLL019C', 'YLL035W', 'YLR096W', 'YLR113W', 'YLR133W', 'YLR240W', 'YLR248W', 'YLR260W', 'YLR305C', 'YLR345W', 'YLR362W', 'YLR410W', 'YLR446W', 'YML070W', 'YMR001C', 'YMR013C', 'YMR104C', 'YMR139W', 'YMR205C', 'YMR208W', 'YMR216C', 'YMR220W', 'YMR291W', 'YNL020C', 'YNL129W', 'YNL154C', 'YNL161W', 'YNL183C', 'YNL207W', 'YNL256W', 'YNL267W', 'YNL298W', 'YNL307C', 'YNR012W', 'YNR027W', 'YNR031C', 'YNR047W', 'YOL016C', 'YOL045W', 'YOL055C', 'YOL061W', 'YOL100W', 'YOL113W', 'YOL128C', 'YOL136C', 'YOR061W', 'YOR119C', 'YOR143C', 'YOR171C', 'YOR231W', 'YOR233W', 'YOR267C', 'YOR311C', 'YOR347C', 'YOR351C', 'YPL026C', 'YPL031C', 'YPL042C', 'YPL140C', 'YPL141C', 'YPL150W', 'YPL153C', 'YPL188W', 'YPL203W', 'YPL204W', 'YPL209C', 'YPL214C', 'YPL236C', 'YPL258C', 'YPR054W', 'YPR106W', 'YPR111W', 'YPR161C']"
kinase binding,1,['YDR103W']
kinase inhibitor activity,1,['YML051W']
kinase regulator activity,2,"['YIL106W', 'YML028W']"
kinetochore binding,5,"['YBL034C', 'YDL028C', 'YDR180W', 'YER147C', 'YGL071W']"
kynureninase activity,1,['YLR231C']
kynurenine 3-monooxygenase activity,1,['YBL098W']
kynurenine aminotransferase activity,1,['YHR137W']
kynurenine-oxoglutarate transaminase activity,2,"['YHR137W', 'YJL060W']"
lactoylglutathione lyase activity,1,['YML004C']
lanosterol O-acyltransferase activity,1,['YCR048W']
lanosterol synthase activity,1,['YHR072W']
large ribosomal subunit rRNA binding,15,"['YBL087C', 'YDR418W', 'YEL054C', 'YER117W', 'YGR103W', 'YHR052W', 'YHR170W', 'YKL009W', 'YKL170W', 'YLR022C', 'YLR340W', 'YMR049C', 'YNL185C', 'YNR053C', 'YPL043W']"
lathosterol oxidase activity,1,['YLR056W']
leucine-tRNA ligase activity,2,"['YLR382C', 'YPL160W']"
leukotriene C4 gamma-glutamyl transferase activity,1,['YLR299W']
ligase activity,96,"['YAL054C', 'YAR015W', 'YBL039C', 'YBL076C', 'YBL080C', 'YBR041W', 'YBR084W', 'YBR094W', 'YBR121C', 'YBR208C', 'YBR218C', 'YBR222C', 'YCR024C', 'YDL008W', 'YDL141W', 'YDL164C', 'YDR023W', 'YDR037W', 'YDR268W', 'YDR341C', 'YDR390C', 'YER015W', 'YER087W', 'YER183C', 'YFL022C', 'YGL062W', 'YGL087C', 'YGL234W', 'YGL245W', 'YGR061C', 'YGR094W', 'YGR102C', 'YGR124W', 'YGR171C', 'YGR185C', 'YGR204W', 'YGR244C', 'YGR264C', 'YHR003C', 'YHR011W', 'YHR019C', 'YHR020W', 'YHR074W', 'YHR091C', 'YIL009W', 'YIL078W', 'YIL083C', 'YIL145C', 'YJL046W', 'YJL087C', 'YJL101C', 'YJL130C', 'YJR103W', 'YJR109C', 'YKL027W', 'YKL132C', 'YKL194C', 'YKL210W', 'YLL018C', 'YLR060W', 'YLR143W', 'YLR153C', 'YLR239C', 'YLR382C', 'YMR113W', 'YMR207C', 'YMR217W', 'YMR246W', 'YMR293C', 'YNL073W', 'YNL220W', 'YNL247W', 'YNR016C', 'YNR057C', 'YOL033W', 'YOL049W', 'YOL058W', 'YOL097C', 'YOR005C', 'YOR142W', 'YOR168W', 'YOR209C', 'YOR241W', 'YOR303W', 'YOR317W', 'YOR335C', 'YPL040C', 'YPL097W', 'YPL104W', 'YPL160W', 'YPR033C', 'YPR035W', 'YPR047W', 'YPR066W', 'YPR081C', 'YPR145W']"
linear malto-oligosaccharide phosphorylase activity,1,['YPR160W']
lipase activity,6,"['YBR067C', 'YDL057W', 'YJR107W', 'YKL094W', 'YOR084W', 'YPR147C']"
lipid binding,39,"['Q0130', 'YAR042W', 'YBR086C', 'YCR009C', 'YDL019C', 'YDL113C', 'YDL161W', 'YDR153C', 'YDR372C', 'YDR388W', 'YDR425W', 'YFL014W', 'YGL119W', 'YGL219C', 'YGR037C', 'YGR086C', 'YHR001W', 'YHR073W', 'YJL036W', 'YJL079C', 'YJR125C', 'YKL130C', 'YKR003W', 'YKR013W', 'YLL006W', 'YLL040C', 'YLR193C', 'YLR201C', 'YLR206W', 'YLR457C', 'YML072C', 'YNL087W', 'YOL009C', 'YOR086C', 'YOR237W', 'YOR357C', 'YPL004C', 'YPL145C', 'YPR091C']"
lipid kinase activity,2,"['YLR260W', 'YOR171C']"
lipid phosphatase activity,2,"['YDR284C', 'YDR503C']"
lipid transfer activity,2,"['YLL006W', 'YOL009C']"
lipoate synthase activity,1,['YOR196C']
lipoate-protein ligase activity,1,['YJL046W']
lipoic acid binding,1,['YAL044C']
lipoyl synthase activity (acting on glycine-cleavage complex H protein,1,['YOR196C']
lipoyl synthase activity (acting on pyruvate dehydrogenase E2 protein),1,['YOR196C']
lipoyl(octanoyl) transferase activity,1,['YLR239C']
lipoyltransferase activity,1,['YJL046W']
long-chain fatty acid transporter activity,3,"['YBR041W', 'YKL188C', 'YPL147W']"
long-chain fatty acid-CoA ligase activity,5,"['YBR041W', 'YER015W', 'YIL009W', 'YMR246W', 'YOR317W']"
long-chain fatty acyl-CoA binding,1,['YGR037C']
low-affinity tryptophan transmembrane transporter activity,1,['YBR069C']
low-affinity zinc ion transmembrane transporter activity,1,['YLR130C']
lyase activity,96,"['YAL012W', 'YAL015C', 'YAL039C', 'YAR008W', 'YBR213W', 'YBR248C', 'YCL064C', 'YCR053W', 'YDL080C', 'YDR047W', 'YDR127W', 'YDR234W', 'YDR294C', 'YDR380W', 'YDR487C', 'YDR533C', 'YDR539W', 'YEL020C', 'YEL021W', 'YEL046C', 'YER010C', 'YER065C', 'YER086W', 'YER090W', 'YER163C', 'YFL059W', 'YFL060C', 'YFL061W', 'YFR055W', 'YGL009C', 'YGL026C', 'YGL040C', 'YGL148W', 'YGL184C', 'YGL196W', 'YGR087C', 'YGR155W', 'YGR170W', 'YGR254W', 'YHL018W', 'YHR018C', 'YHR067W', 'YHR112C', 'YHR174W', 'YIR032C', 'YJL005W', 'YJL097W', 'YJL200C', 'YJR016C', 'YJR024C', 'YKL060C', 'YKL087C', 'YKL151C', 'YKL182W', 'YKL184W', 'YKL211C', 'YKL218C', 'YKR009C', 'YKR097W', 'YLR044C', 'YLR105C', 'YLR134W', 'YLR304C', 'YLR359W', 'YML004C', 'YML060W', 'YMR095C', 'YMR096W', 'YMR250W', 'YMR289W', 'YMR322C', 'YMR323W', 'YNL036W', 'YNL169C', 'YNL256W', 'YNL316C', 'YNL333W', 'YNL334C', 'YNL335W', 'YNR043W', 'YOL043C', 'YOL052C', 'YOR128C', 'YOR176W', 'YOR202W', 'YOR278W', 'YOR386W', 'YOR391C', 'YOR393W', 'YPL123C', 'YPL207W', 'YPL262W', 'YPL280W', 'YPL281C', 'YPR002W', 'YPR006C']"
lysine-acetylated histone binding,7,"['YDL070W', 'YFL007W', 'YGR252W', 'YIL126W', 'YKR008W', 'YLR399C', 'YOR290C']"
lysine-tRNA ligase activity,2,"['YDR037W', 'YNL073W']"
lysophosphatidic acid acyltransferase activity,7,"['YDR125C', 'YGR015C', 'YGR110W', 'YKR089C', 'YLR099C', 'YOR081C', 'YPR139C']"
lysophosphatidic acid phosphatase activity,1,['YER037W']
lysophosphatidylethanolamine acyltransferase activity,1,['YMR313C']
lysophospholipase activity,6,"['YHR049W', 'YML059C', 'YMR006C', 'YMR008C', 'YOL011W', 'YOR059C']"
m7G(5')pppN diphosphatase activity,4,"['YLR270W', 'YNL118C', 'YOR163W', 'YOR173W']"
mRNA (N6-adenosine)-methyltransferase activity,1,['YGL192W']
mRNA (guanine-N7-)-methyltransferase activity,1,['YBR236C']
mRNA 3'-UTR AU-rich region binding,2,"['YBL032W', 'YBR046C']"
mRNA 3'-UTR binding,10,"['YDR293C', 'YDR374C', 'YDR496C', 'YER165W', 'YFR023W', 'YGL107C', 'YHR015W', 'YLL013C', 'YMR268C', 'YOR319W']"
mRNA 5'-UTR binding,6,"['YCR031C', 'YDR293C', 'YDR496C', 'YGR222W', 'YJL191W', 'YNL306W']"
mRNA binding,200,"['YAR007C', 'YBL004W', 'YBL032W', 'YBL051C', 'YBR072W', 'YBR079C', 'YBR130C', 'YBR212W', 'YBR222C', 'YBR233W', 'YBR238C', 'YCL011C', 'YCL037C', 'YCL055W', 'YCR031C', 'YCR057C', 'YCR077C', 'YDL078C', 'YDL087C', 'YDL136W', 'YDL160C', 'YDL185W', 'YDL191W', 'YDL224C', 'YDR021W', 'YDR037W', 'YDR060W', 'YDR151C', 'YDR155C', 'YDR172W', 'YDR194C', 'YDR228C', 'YDR240C', 'YDR293C', 'YDR364C', 'YDR374C', 'YDR381W', 'YDR432W', 'YDR496C', 'YDR505C', 'YDR515W', 'YDR538W', 'YEL015W', 'YER006W', 'YER035W', 'YER072W', 'YER131W', 'YER151C', 'YER155C', 'YER165W', 'YER176W', 'YFL023W', 'YFR001W', 'YFR032C', 'YGL014W', 'YGL031C', 'YGL044C', 'YGL049C', 'YGL099W', 'YGL107C', 'YGL120C', 'YGL122C', 'YGL173C', 'YGL178W', 'YGL189C', 'YGL222C', 'YGL245W', 'YGR054W', 'YGR072W', 'YGR074W', 'YGR103W', 'YGR148C', 'YGR155W', 'YGR156W', 'YGR159C', 'YGR162W', 'YGR178C', 'YGR185C', 'YGR192C', 'YGR250C', 'YGR271W', 'YGR279C', 'YHL007C', 'YHL015W', 'YHL024W', 'YHL034C', 'YHR082C', 'YHR086W', 'YHR104W', 'YHR165C', 'YHR209W', 'YHR216W', 'YIL061C', 'YIL062C', 'YIL133C', 'YIL160C', 'YIR034C', 'YJL010C', 'YJL050W', 'YJL080C', 'YJL124C', 'YJL209W', 'YJR014W', 'YJR091C', 'YJR110W', 'YJR113C', 'YJR123W', 'YKL014C', 'YKL074C', 'YKL085W', 'YKL130C', 'YKL172W', 'YKL204W', 'YKR095W', 'YLL011W', 'YLL013C', 'YLL032C', 'YLR016C', 'YLR017W', 'YLR067C', 'YLR116W', 'YLR136C', 'YLR147C', 'YLR175W', 'YLR197W', 'YLR244C', 'YLR276C', 'YLR298C', 'YLR304C', 'YLR398C', 'YLR401C', 'YLR419W', 'YLR430W', 'YLR432W', 'YML010W', 'YML017W', 'YML056C', 'YML117W', 'YMR012W', 'YMR061W', 'YMR080C', 'YMR125W', 'YMR205C', 'YMR229C', 'YMR288W', 'YMR309C', 'YNL002C', 'YNL004W', 'YNL016W', 'YNL069C', 'YNL112W', 'YNL118C', 'YNL139C', 'YNL197C', 'YNL210W', 'YNL239W', 'YNL251C', 'YNL253W', 'YNL255C', 'YNL262W', 'YNR051C', 'YOL115W', 'YOL123W', 'YOL149W', 'YOR027W', 'YOR048C', 'YOR091W', 'YOR094W', 'YOR120W', 'YOR141C', 'YOR150W', 'YOR151C', 'YOR168W', 'YOR198C', 'YOR204W', 'YOR206W', 'YOR236W', 'YOR310C', 'YOR354C', 'YOR359W', 'YOR362C', 'YOR386W', 'YPL009C', 'YPL012W', 'YPL043W', 'YPL119C', 'YPL126W', 'YPL169C', 'YPL184C', 'YPL190C', 'YPL212C', 'YPL215W', 'YPL217C', 'YPL226W', 'YPL237W', 'YPR033C', 'YPR042C', 'YPR112C', 'YPR129W', 'YPR163C']"
mRNA cap binding,1,['YOL139C']
mRNA guanylyltransferase activity,1,['YGL130W']
macrolide binding,3,"['YLR449W', 'YML074C', 'YNL135C']"
macromolecular complex binding,33,"['YAL047C', 'YBL079W', 'YDR174W', 'YDR356W', 'YDR411C', 'YDR424C', 'YDR517W', 'YFR046C', 'YGL086W', 'YGR063C', 'YGR178C', 'YHR081W', 'YJL030W', 'YJR066W', 'YKL089W', 'YKL203C', 'YLR290C', 'YLR347C', 'YML001W', 'YML010W', 'YML013W', 'YML064C', 'YMR001C', 'YMR032W', 'YMR067C', 'YMR255W', 'YNL189W', 'YNR024W', 'YOL069W', 'YOL072W', 'YOR076C', 'YPL020C', 'YPL065W']"
magnesium ion binding,59,"['YAL026C', 'YAL038W', 'YBL068W', 'YBR011C', 'YBR176W', 'YBR252W', 'YCL018W', 'YDL066W', 'YDL080C', 'YDR093W', 'YDR380W', 'YEL020C', 'YEL038W', 'YEL058W', 'YER055C', 'YER099C', 'YER166W', 'YGL154C', 'YGR024C', 'YGR087C', 'YGR208W', 'YGR244C', 'YGR254W', 'YHL011C', 'YHR168W', 'YHR174W', 'YIL048W', 'YIL094C', 'YJL005W', 'YJL079C', 'YKL113C', 'YKL127W', 'YKL181W', 'YKL218C', 'YLR044C', 'YLR060W', 'YLR134W', 'YLR151C', 'YLR174W', 'YLR215C', 'YMR105C', 'YMR108W', 'YMR162C', 'YMR234W', 'YMR267W', 'YMR278W', 'YMR323W', 'YNL009W', 'YNL037C', 'YNL220W', 'YNR057C', 'YOL061W', 'YOR136W', 'YOR155C', 'YOR347C', 'YOR393W', 'YPL148C', 'YPL231W', 'YPL281C']"
magnesium ion transmembrane transporter activity,6,"['YFL050C', 'YKL064W', 'YMR166C', 'YOL130W', 'YOR334W', 'YPL060W']"
malate dehydrogenase (decarboxylating) (NAD+) activity,1,['YKL029C']
malate dehydrogenase activity,3,"['YDL078C', 'YKL085W', 'YOL126C']"
malate synthase activity,2,"['YIR031C', 'YNL117W']"
malate transmembrane transporter activity,1,['YLR348C']
malic enzyme activity,1,['YKL029C']
malonate(1-) transmembrane transporter activity,1,['YKL120W']
maltose alpha-glucosidase activity,7,"['YBR299W', 'YGR287C', 'YGR292W', 'YIL172C', 'YJL216C', 'YJL221C', 'YOL157C']"
maltose transmembrane transporter activity,2,"['YDL247W', 'YJR160C']"
maltose:proton symporter activity,1,['YGR289C']
manganese ion binding,8,"['YER078C', 'YFR006W', 'YHR008C', 'YLR151C', 'YMR224C', 'YNL118C', 'YOL142W', 'YPL111W']"
manganese ion transmembrane transporter activity,7,"['YBR187W', 'YHR050W', 'YLR034C', 'YLR220W', 'YML123C', 'YOL122C', 'YOR079C']"
"mannan endo-1,6-alpha-mannosidase activity",2,"['YKL046C', 'YMR238W']"
mannitol 2-dehydrogenase activity,2,"['YEL070W', 'YNR073C']"
mannitol dehydrogenase activity,2,"['YEL070W', 'YNR073C']"
mannokinase activity,5,"['YCL040W', 'YDR516C', 'YFR053C', 'YGL253W', 'YLR446W']"
mannose binding,7,"['YAL063C', 'YAR050W', 'YFL048C', 'YHR211W', 'YKR044W', 'YKR102W', 'YLR080W']"
mannose transmembrane transporter activity,15,"['YDL245C', 'YDR342C', 'YDR343C', 'YDR345C', 'YEL069C', 'YFL011W', 'YHR092C', 'YHR094C', 'YHR096C', 'YJL214W', 'YJL219W', 'YJR158W', 'YMR011W', 'YNR072W', 'YOL156W']"
mannose-1-phosphate guanylyltransferase activity,1,['YDL055C']
mannose-6-phosphate isomerase activity,1,['YER003C']
mannose-ethanolamine phosphotransferase activity,4,"['YDR302W', 'YJL062W', 'YKL165C', 'YLL031C']"
"mannosyl-oligosaccharide 1,2-alpha-mannosidase activity",3,"['YHR204W', 'YJR131W', 'YLR057W']"
mannosyl-oligosaccharide glucosidase activity,2,"['YGL027C', 'YMR196W']"
mannosylphosphate transferase activity,1,['YPL053C']
mannosyltransferase activity,28,"['YAL023C', 'YBL082C', 'YBR004C', 'YBR110W', 'YBR161W', 'YBR199W', 'YBR205W', 'YCL052C', 'YDL093W', 'YDL095W', 'YDR307W', 'YDR483W', 'YGL142C', 'YGR199W', 'YIL085C', 'YJL139C', 'YJR013W', 'YJR143C', 'YKR061W', 'YNL029C', 'YNL158W', 'YNL219C', 'YNR030W', 'YOR099W', 'YOR149C', 'YOR321W', 'YPL053C', 'YPL057C']"
mating pheromone activity,4,"['YDR461W', 'YGL089C', 'YNL145W', 'YPL187W']"
mating-type a-factor pheromone receptor activity,1,['YKL178C']
mating-type alpha-factor pheromone receptor activity,1,['YFL026W']
mating-type factor pheromone receptor activity,2,"['YFL026W', 'YKL178C']"
mediator complex binding,2,"['YCR084C', 'YDR146C']"
medium-chain fatty acid-CoA ligase activity,3,"['YBR222C', 'YER015W', 'YOR317W']"
melatonin binding,10,"['YBR118W', 'YGR192C', 'YGR254W', 'YHR174W', 'YJL052W', 'YJR009C', 'YKL060C', 'YOL086C', 'YOR347C', 'YPR080W']"
membrane insertase activity,2,"['YER154W', 'YGR062C']"
